,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
losses_train,2.3085005,2.308516,2.3084455,2.3076398,2.307879,2.3076053,2.307733,2.307478,2.3071454,2.3067646,2.3066869,2.306784,2.3060803,2.306932,2.306189,2.305653,2.3054607,2.3054967,2.305888,2.3053253,2.3050294,2.305255,2.3047614,2.3038945,2.3043869,2.304371,2.303695,2.3035724,2.3032017,2.3039565,2.3028681,2.3032765,2.3030043,2.3030457,2.302261,2.301989,2.301743,2.3016856,2.3014066,2.3012807,2.3009129,2.3010993,2.3004827,2.3008544,2.3004403,2.3002844,2.300288,2.2998798,2.299549,2.2997804,2.298956,2.2989247,2.298443,2.2988155,2.298335,2.2988312,2.297929,2.297945,2.2974153,2.2976923,2.2970104,2.2973895,2.2969313,2.2967455,2.29561,2.2966075,2.2957215,2.2955182,2.295493,2.295037,2.2951496,2.2948549,2.2947848,2.2942066,2.2939925,2.2940066,2.2929058,2.2928555,2.2938883,2.2936625,2.292362,2.2928977,2.2923849,2.2923038,2.29161,2.2913325,2.2914805,2.2907224,2.2906365,2.2910964,2.2899897,2.2903037,2.2895975,2.2900715,2.2897356,2.2887936,2.287972,2.2892704,2.287799,2.2879777,2.2879457,2.2872887,2.287127,2.2875116,2.2874563,2.2869577,2.28562,2.2854724,2.2862701,2.285665,2.2849493,2.2845025,2.2848604,2.2848704,2.2840216,2.283206,2.2832668,2.2836127,2.2827752,2.281434,2.2822728,2.2820482,2.2821038,2.2819865,2.281514,2.280474,2.2796414,2.2798312,2.279624,2.280057,2.2803917,2.2790995,2.278517,2.27738,2.2768896,2.2778482,2.2770612,2.2761178,2.2767863,2.2753956,2.2760339,2.2752285,2.2756238,2.2754092,2.2736616,2.273714,2.2735243,2.2728379,2.2724638,2.2722232,2.2712827,2.271723,2.271557,2.2700372,2.2709754,2.2702436,2.2705183,2.2690878,2.2687018,2.26858,2.2680426,2.2676735,2.2663696,2.2658343,2.2650697,2.2653582,2.263929,2.2658627,2.2638388,2.2637377,2.263866,2.263852,2.2637472,2.2624345,2.263265,2.261788,2.2607012,2.2607956,2.259353,2.2595236,2.2581527,2.2580597,2.2589526,2.257862,2.2559435,2.2575805,2.255594,2.2547798,2.2543552,2.254616,2.2551956,2.25274,2.251945,2.2518754,2.2501488,2.2508838,2.250275,2.2504163,2.2492857,2.248146
accuracies_train,0.041345455,0.04234965,0.043426573,0.04408252,0.045158044,0.046475526,0.047738463,0.048755243,0.04999021,0.051397204,0.052755244,0.054123078,0.055386014,0.05648112,0.05791049,0.059562236,0.06095105,0.06263497,0.0639063,0.06533566,0.06710629,0.06888951,0.07056923,0.0726979,0.07448951,0.07635385,0.078304894,0.080485314,0.08283637,0.08477203,0.0868979,0.0888979,0.09113986,0.093283914,0.095613986,0.09803496,0.10034126,0.10314406,0.10576504,0.10802378,0.11099581,0.11403077,0.11677622,0.11948671,0.122657344,0.1253916,0.12813985,0.130793,0.1335916,0.13674825,0.14004196,0.14329231,0.14647132,0.14977762,0.1534014,0.1563888,0.15983777,0.16307272,0.1661063,0.16932167,0.17302237,0.1763077,0.17977622,0.18299161,0.18624896,0.18981819,0.19356923,0.19684476,0.20045315,0.20326993,0.20658042,0.21003915,0.21308252,0.21623777,0.21966434,0.22299021,0.22611329,0.22943915,0.23259021,0.2358979,0.23895524,0.24218601,0.2450993,0.24831888,0.25131607,0.25486714,0.2582154,0.2608238,0.2639944,0.2668895,0.2696014,0.27286014,0.2759804,0.2788993,0.28171748,0.284386,0.28700978,0.29018182,0.2932098,0.2955944,0.29823497,0.30093986,0.30376503,0.30694684,0.30973566,0.31178743,0.31455386,0.31738183,0.31996644,0.32223636,0.32456782,0.32727832,0.32966295,0.3322084,0.3344042,0.3370168,0.33934546,0.3419217,0.34449512,0.34696364,0.34943077,0.35153985,0.35374966,0.35576785,0.35776085,0.3601175,0.362379,0.36465034,0.36714965,0.3692042,0.37105036,0.37343076,0.37552726,0.37731048,0.37933287,0.38144055,0.3836993,0.3854056,0.38693985,0.38886714,0.39106715,0.3930014,0.39502797,0.39684194,0.39834964,0.40035665,0.40195385,0.4037874,0.40546015,0.407186,0.4089916,0.41075245,0.41214406,0.41365874,0.41518882,0.4167007,0.41822097,0.41972446,0.42086294,0.421979,0.42304337,0.4240979,0.42535666,0.42645735,0.42761537,0.4286909,0.42967972,0.43056783,0.43146715,0.43223217,0.43314546,0.43406573,0.43485594,0.435793,0.43651608,0.43752587,0.43826574,0.43887833,0.4397958,0.44035244,0.44103917,0.44171327,0.4422937,0.44294685,0.44374964,0.44366714,0.44396085,0.44423777,0.44474405,0.44536924,0.4457259,0.44595104,0.44626293,0.44644475,0.446807,0.44712308,0.44736785,0.44767272,0.44804615,0.44814685
accuracies_test,0.038,0.039,0.0403,0.0414,0.0422,0.0436,0.0449,0.0463,0.0473,0.0487,0.0498,0.051,0.0528,0.054,0.0546,0.0559,0.0571,0.0582,0.0598,0.0628,0.0641,0.065,0.067,0.0684,0.0705,0.0725,0.0747,0.0767,0.0789,0.0802,0.0824,0.084,0.0864,0.0889,0.0916,0.0934,0.0953,0.098,0.1009,0.1031,0.1051,0.1073,0.1109,0.1137,0.1163,0.1187,0.1219,0.1243,0.1281,0.1308,0.1335,0.1373,0.1414,0.1453,0.1482,0.1511,0.1539,0.1572,0.1605,0.1637,0.1673,0.1705,0.1736,0.1778,0.1811,0.1842,0.188,0.1914,0.1946,0.1977,0.2,0.2033,0.2067,0.212,0.2154,0.2184,0.2228,0.2257,0.2298,0.2331,0.2367,0.2405,0.2434,0.2477,0.2504,0.2544,0.2582,0.2616,0.2648,0.2691,0.2721,0.2769,0.2796,0.2832,0.2872,0.2905,0.2941,0.2967,0.2999,0.3032,0.3062,0.3106,0.3136,0.3176,0.32,0.3227,0.3249,0.3275,0.3296,0.3324,0.3351,0.3382,0.3417,0.3445,0.3469,0.3491,0.3517,0.3537,0.3565,0.3587,0.3607,0.3631,0.3654,0.3674,0.3693,0.3714,0.3746,0.3766,0.3789,0.3807,0.3827,0.385,0.387,0.3885,0.3905,0.3921,0.394,0.396,0.3979,0.4013,0.4032,0.4051,0.407,0.4084,0.4107,0.4122,0.4135,0.4151,0.4165,0.4177,0.4184,0.4193,0.4207,0.4224,0.4231,0.4243,0.4257,0.4267,0.4289,0.4299,0.4306,0.4319,0.4324,0.4339,0.4341,0.436,0.4371,0.4374,0.4386,0.4397,0.4398,0.4402,0.4409,0.4417,0.4426,0.4438,0.4444,0.4454,0.4457,0.4466,0.4475,0.448,0.449,0.4491,0.4496,0.4501,0.45,0.4508,0.4512,0.4515,0.4518,0.4522,0.4523,0.4525,0.453,0.4533,0.4532,0.4537,0.4543,0.4544
