,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
losses_train,2.3423345,2.1534302,1.9915445,1.8462716,1.7069024,1.5770864,1.4653577,1.3680189,1.2790699,1.2072102,1.1245874,1.0557251,0.98409986,0.9211643,0.87172496,0.82904303,0.7881313,0.7528616,0.7288365,0.70201683,0.6849691,0.6623216,0.6435222,0.62271917,0.596311,0.57846206,0.56342334,0.5479775,0.529595,0.5178008,0.50126314,0.4868774,0.4852261,0.46839714,0.45624182,0.4538598,0.4433933,0.43613908,0.4276257,0.41894555,0.41564658,0.4036873,0.40210637,0.39342222,0.3892516,0.38332897,0.37593204,0.3732057,0.36589065,0.36309937,0.35740602,0.35443214,0.34780052,0.34645355,0.34484512,0.33551183,0.33613622,0.33103555,0.32466766,0.3238912,0.3199675,0.3174465,0.31303716,0.3126626,0.31010154,0.30605385,0.30464822,0.30327478,0.29977956,0.29052457,0.2852659,0.28823343,0.2875254,0.28372762,0.2798739,0.27896598,0.2736551,0.27246204,0.2732819,0.26995143,0.26510713,0.26642916,0.26398337,0.25995,0.25870267,0.25514594,0.25582677,0.24919213,0.24853742,0.24963875,0.24611957,0.24512325,0.24281201,0.24555878,0.2385441,0.23825082,0.23829204,0.2319456,0.2341501,0.23179418,0.22736588,0.2295195,0.22802389,0.22546934,0.21987335,0.22231598,0.21987765,0.2151365,0.21842137,0.21514557,0.21460979,0.21136472,0.20767175,0.2100623,0.20687337,0.20493732,0.20595004,0.20427643,0.20061478,0.20101477,0.20157674,0.20040445,0.19658795,0.19737013,0.19608721,0.19305275,0.18918781,0.18834493,0.18557058,0.18832876,0.1891915,0.18785018,0.18542038,0.18242493,0.18159434,0.18257597,0.17906356,0.17930567,0.17482537,0.17575213,0.17357384,0.1743145,0.1721876,0.17247307,0.17187363,0.17100516,0.1718664,0.16892669,0.16759594,0.16736488,0.1674828,0.16634925,0.16366717,0.16284862,0.16246025,0.16210765,0.16201796,0.16064905,0.1587619,0.15905349,0.1565126,0.15727012,0.15553954,0.15487571,0.15187776,0.15348388,0.15238757,0.15088314,0.15045726,0.14856441,0.14937614,0.14545475,0.14696297,0.1455853,0.14462192,0.14371023,0.14338022,0.14397526,0.14130506,0.14319377,0.14006951,0.13731512,0.13921317,0.1386199,0.13675338,0.13559507,0.13631438,0.13657014,0.13521399,0.13387243,0.13328187,0.13139644,0.13176544,0.13167307,0.12921211,0.12626134,0.12898342,0.1289928,0.12579475,0.12721615
accuracies_train,0.06372326,0.35329813,0.4656238,0.5879189,0.62993056,0.6889525,0.6839011,0.7212448,0.71021396,0.7382773,0.73601556,0.76359546,0.77602667,0.79766047,0.8152042,0.8126146,0.830564,0.81959987,0.8372326,0.8215782,0.8385996,0.8299194,0.8436177,0.8369047,0.85493195,0.8591609,0.86595166,0.8735371,0.8775493,0.88122255,0.8818672,0.8885579,0.88856906,0.89223117,0.8932259,0.8938816,0.89557654,0.8962434,0.8972492,0.8992165,0.8988997,0.9012392,0.89992774,0.90390664,0.90293413,0.90525144,0.9055904,0.9059183,0.907591,0.9095804,0.9092859,0.9115699,0.91162544,0.91259795,0.9149486,0.91359264,0.9172659,0.9159433,0.9169269,0.917616,0.91826063,0.9179439,0.9195832,0.92061126,0.9199444,0.92228395,0.92261183,0.92263407,0.9232787,0.92325646,0.9242623,0.9239344,0.9242623,0.9246124,0.92626286,0.925596,0.92757434,0.9269297,0.9282523,0.92894137,0.9292359,0.929247,0.92990273,0.9326146,0.9312476,0.93329257,0.9329425,0.93593776,0.93459296,0.9372715,0.93493193,0.9365935,0.9366157,0.9372603,0.93695474,0.93928313,0.93928313,0.93894416,0.94061685,0.9416116,0.94061685,0.9419394,0.94127256,0.9429119,0.942923,0.94391775,0.9442567,0.94557935,0.94559044,0.9452737,0.9462573,0.9472631,0.94728535,0.94793,0.9479522,0.94925255,0.9479411,0.94958043,0.949297,0.95058626,0.949297,0.95257574,0.95094746,0.9529258,0.95030284,0.95392054,0.953287,0.9549152,0.9536038,0.9545985,0.9545874,0.9552876,0.95590997,0.9569492,0.95692694,0.957277,0.95925534,0.95896083,0.9589386,0.9592776,0.96058905,0.9599555,0.9615949,0.96162826,0.9639344,0.9619561,0.96394557,0.96297306,0.9646013,0.96396774,0.9646013,0.96362877,0.9652792,0.96428454,0.9662629,0.9629508,0.9662629,0.9642734,0.9669297,0.96529037,0.9669075,0.96494025,0.96759653,0.9659461,0.96891916,0.9682856,0.969586,0.9672798,0.9702529,0.9689525,0.96960825,0.9699583,0.9692692,0.9712698,0.9702751,0.9716199,0.9709197,0.9719478,0.9722645,0.9722756,0.9736093,0.9722756,0.9722645,0.9729314,0.97292024,0.9736093,0.9729314,0.9742651,0.97327036,0.9749319,0.9736093,0.97559875,0.97428733,0.9759378,0.9752709,0.9762656,0.9762545,0.9762656,0.97558767,0.9765935
accuracies_test,0.3144,0.436,0.5741,0.6066,0.6887,0.6694,0.7265,0.6967,0.7374,0.7233,0.7599,0.7621,0.7994,0.799,0.8186,0.813,0.826,0.8198,0.8287,0.8231,0.8349,0.833,0.8437,0.8438,0.8586,0.8558,0.8708,0.8641,0.8777,0.8729,0.882,0.878,0.8846,0.8821,0.8864,0.8844,0.8872,0.8866,0.8891,0.8873,0.8906,0.8893,0.892,0.8915,0.8935,0.892,0.8942,0.8946,0.8963,0.8958,0.8972,0.8967,0.8974,0.8976,0.8984,0.8985,0.899,0.9005,0.8999,0.9012,0.9006,0.9023,0.9022,0.9032,0.9032,0.9039,0.9035,0.9043,0.9043,0.9048,0.9044,0.9048,0.905,0.9054,0.9059,0.9056,0.9066,0.9064,0.9069,0.9073,0.9074,0.9078,0.9077,0.9079,0.908,0.9085,0.9093,0.9089,0.9092,0.9087,0.9093,0.9091,0.9097,0.9095,0.9094,0.9102,0.9107,0.9104,0.91,0.9103,0.9108,0.9109,0.9116,0.9114,0.912,0.911,0.9119,0.9119,0.9115,0.9118,0.9113,0.9118,0.9123,0.9119,0.9125,0.9126,0.9132,0.9131,0.9136,0.9127,0.9139,0.9131,0.9143,0.9132,0.9149,0.9137,0.9141,0.9137,0.9144,0.9152,0.9138,0.9148,0.9144,0.915,0.914,0.9154,0.9146,0.9157,0.9145,0.9156,0.9149,0.9161,0.9149,0.9163,0.9151,0.9164,0.9146,0.916,0.9154,0.9164,0.9155,0.9166,0.9155,0.9163,0.9155,0.916,0.9158,0.9163,0.9154,0.9168,0.916,0.9172,0.9164,0.9178,0.9162,0.9176,0.9163,0.9174,0.917,0.9176,0.9171,0.9179,0.9179,0.9173,0.9181,0.9177,0.9178,0.9178,0.9176,0.918,0.9175,0.9176,0.9176,0.9173,0.9182,0.9177,0.9174,0.9175,0.9178,0.9179,0.9178,0.9178,0.9179,0.9182,0.9183,0.9181,0.9189,0.9188,0.9187,0.9193
