,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
losses_train,2.3646536,2.1724236,2.0077631,1.867004,1.7289165,1.5959519,1.4754454,1.3673122,1.2695745,1.1861744,1.1052747,1.0419053,0.980734,0.92729247,0.8838109,0.842467,0.8038523,0.7710601,0.742307,0.7156582,0.68801486,0.6706505,0.6473288,0.6291905,0.61332446,0.59596306,0.58332276,0.5648323,0.55373996,0.5416655,0.52515763,0.51385677,0.5032924,0.49525654,0.48402196,0.4750362,0.46556512,0.45781475,0.44968724,0.44458258,0.43642431,0.43141901,0.42357138,0.41745278,0.41298082,0.407853,0.40073705,0.39615208,0.3918016,0.38689488,0.38265842,0.37906554,0.37498623,0.3688683,0.36645505,0.3621807,0.35947192,0.354284,0.35147616,0.3470645,0.34455395,0.34046298,0.3365523,0.33634222,0.33347154,0.33097577,0.3255702,0.32578504,0.3209401,0.31980547,0.31763273,0.31474203,0.31232694,0.3094063,0.3060448,0.3059267,0.30485094,0.29647952,0.30033618,0.29668003,0.2948844,0.29465696,0.29141688,0.28931418,0.28819835,0.2850861,0.28313348,0.28131816,0.27987233,0.27888235,0.27652505,0.2754422,0.27323782,0.2703601,0.27068073,0.26861286,0.26670253,0.26502022,0.2642612,0.2625771,0.26129282,0.2587051,0.2584807,0.25684637,0.25331643,0.25298116,0.25285637,0.25044805,0.24860428,0.24992248,0.24746998,0.24627589,0.24310495,0.24376121,0.24314922,0.24115938,0.23675251,0.23855363,0.23651655,0.23555502,0.23370697,0.23326163,0.22965053,0.23204549,0.22931385,0.22920576,0.2286367,0.2274359,0.22648203,0.22309612,0.22406457,0.22140636,0.21862876,0.22019956,0.21929519,0.21926263,0.21539198,0.2180236,0.21724221,0.21565056,0.21380506,0.21198541,0.21214336,0.21102932,0.21203034,0.20857696,0.20715263,0.20799242,0.20597418,0.20614697,0.20570521,0.20328051,0.20371734,0.2037478,0.20145948,0.19942182,0.20064351,0.19779757,0.19863398,0.19780317,0.19498946,0.19487883,0.19368905,0.19456975,0.19230188,0.19414829,0.19300501,0.19175097,0.18835519,0.19014859,0.1895917,0.1880258,0.18638162,0.18608892,0.1868613,0.18506962,0.18461598,0.18290702,0.18354869,0.18139432,0.18054613,0.18155909,0.17821333,0.1798062,0.17852226,0.17839298,0.17719989,0.17721918,0.17541693,0.17433208,0.17543499,0.17230162,0.17286456,0.17262533,0.17254338,0.16973683,0.17108612,0.17055425,0.16958097,0.16894382
accuracies_train,0.09306709,0.35261527,0.5736129,0.5971842,0.64545786,0.6728273,0.70099676,0.7330711,0.7397162,0.77131045,0.7763932,0.8031381,0.80955875,0.826256,0.8286673,0.8378304,0.8399907,0.8495983,0.8482293,0.8603105,0.85556114,0.86585546,0.8600371,0.8689536,0.86359745,0.87205166,0.8684913,0.87717885,0.87560314,0.882306,0.87739885,0.8847529,0.88141257,0.8883177,0.8871732,0.8929782,0.8918203,0.8954162,0.8940561,0.89873433,0.89762086,0.9014012,0.8980609,0.90385705,0.9002789,0.90451264,0.9027303,0.906744,0.90339476,0.9089709,0.9040504,0.91095996,0.9064973,0.9123023,0.90872866,0.9136358,0.9107222,0.9143048,0.9122668,0.91496485,0.91317356,0.91651386,0.91450703,0.91762286,0.9160605,0.9180763,0.9178296,0.9194097,0.91916305,0.9194097,0.91915417,0.9207299,0.9200431,0.9218522,0.9202676,0.9238502,0.9220544,0.9249592,0.9227234,0.92540365,0.9240568,0.9267371,0.9249503,0.9271772,0.92605484,0.92762166,0.9280617,0.92895067,0.9280528,0.931622,0.9300552,0.93163097,0.9300597,0.93228656,0.9311687,0.93273103,0.93228656,0.93429345,0.9331711,0.935178,0.93428457,0.935178,0.93428457,0.93562245,0.9360669,0.93696034,0.93629587,0.9369559,0.93674034,0.9378449,0.93762934,0.94007176,0.9378582,0.94007176,0.93985623,0.9405163,0.9405252,0.94007176,0.9407452,0.94140524,0.94207865,0.94229865,0.94296765,0.9429632,0.94408107,0.9427432,0.9436366,0.94340765,0.94452554,0.94475,0.94452554,0.9458635,0.9460791,0.9465369,0.94673914,0.94630796,0.9469636,0.94720584,0.9474036,0.9480904,0.94784814,0.9480904,0.9491727,0.9485393,0.9491727,0.9494194,0.9496216,0.9489793,0.9498372,0.9509773,0.9500617,0.95075285,0.94939274,0.950744,0.95029056,0.95118845,0.9507351,0.95207745,0.95229745,0.9527464,0.95228857,0.9534242,0.95251745,0.95297086,0.9527419,0.9538598,0.95318645,0.9538643,0.95429987,0.9547488,0.9547399,0.95541775,0.9551889,0.9549644,0.95631117,0.9551889,0.9560867,0.9551933,0.95541334,0.95541775,0.95630676,0.9556422,0.95720017,0.9560823,0.95698017,0.9565312,0.95742464,0.95652676,0.9587714,0.95696235,0.958767,0.9571868,0.9596515,0.9576313,0.960316,0.95785135,0.9603205,0.9583003,0.96076053,0.95918924
accuracies_test,0.3888,0.5906,0.6278,0.6791,0.7017,0.7251,0.7472,0.7572,0.7823,0.7907,0.8083,0.814,0.8274,0.8271,0.8412,0.8425,0.8522,0.8499,0.8598,0.8524,0.8648,0.8559,0.8693,0.8593,0.872,0.8636,0.8749,0.8689,0.8786,0.8755,0.8812,0.8795,0.8834,0.8825,0.8853,0.8854,0.8873,0.887,0.8883,0.8886,0.8905,0.8898,0.8903,0.8905,0.8913,0.8924,0.8924,0.8927,0.8929,0.8933,0.8937,0.8936,0.8948,0.8946,0.8959,0.895,0.897,0.8967,0.898,0.8963,0.8991,0.8975,0.8991,0.8982,0.8994,0.8989,0.9011,0.8997,0.9006,0.8998,0.9011,0.901,0.9018,0.9008,0.9024,0.9012,0.9031,0.9021,0.9032,0.9023,0.904,0.9026,0.9042,0.9033,0.9043,0.9033,0.9054,0.9051,0.9055,0.9051,0.9056,0.9055,0.9063,0.9057,0.9064,0.9059,0.9064,0.9063,0.9066,0.9067,0.9076,0.9073,0.9079,0.9073,0.9087,0.9074,0.9081,0.9076,0.9077,0.908,0.9079,0.9078,0.9082,0.9086,0.9083,0.909,0.9086,0.9092,0.9086,0.909,0.9092,0.9096,0.9091,0.9095,0.9108,0.9095,0.9106,0.9093,0.9105,0.9099,0.9108,0.9106,0.9106,0.9111,0.9115,0.9111,0.9116,0.9115,0.9112,0.9117,0.9124,0.9124,0.9124,0.9121,0.9129,0.913,0.9127,0.9128,0.9132,0.9131,0.9128,0.9133,0.9129,0.9134,0.9136,0.9134,0.9135,0.9137,0.9142,0.914,0.9139,0.9139,0.9145,0.9137,0.9139,0.9141,0.9135,0.914,0.9137,0.9143,0.914,0.9147,0.9147,0.9142,0.9151,0.9143,0.9149,0.9146,0.9138,0.9147,0.9142,0.9145,0.9149,0.9149,0.9158,0.915,0.9155,0.9154,0.9158,0.9154,0.916,0.9159,0.9156,0.9163,0.9155,0.916,0.9149,0.9165,0.9162,0.9165
