,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
losses_train,2.4401171,2.3075929,1.9913499,1.7897471,1.6045911,1.4453307,1.3305478,1.2290998,1.206297,1.0541393,0.9997095,0.8900151,0.8423196,0.79289556,0.7750442,0.74334604,0.7405717,0.68183136,0.6491406,0.5950342,0.56078607,0.53621405,0.5103022,0.4950449,0.47601846,0.46740863,0.44785967,0.44493228,0.432917,0.42199355,0.41820544,0.40454793,0.3927899,0.3814961,0.36883825,0.35926932,0.35228473,0.34267476,0.33582205,0.32873595,0.3255558,0.31812882,0.31271926,0.3087772,0.30218944,0.2972763,0.29371947,0.29301065,0.28769135,0.2820395,0.27798384,0.27512002,0.27029788,0.2687533,0.26289237,0.26151344,0.25790048,0.25674564,0.25480914,0.25046825,0.24847737,0.24414003,0.24205218,0.23829426,0.23524392,0.23180489,0.22904618,0.22829047,0.22793716,0.22531977,0.22252026,0.21936406,0.2199044,0.21368462,0.21463422,0.21240115,0.20652074,0.20939037,0.2056074,0.2016038,0.20243116,0.20038877,0.19804023,0.19697745,0.19316353,0.19307318,0.19197805,0.1886385,0.18992656,0.18780212,0.18199721,0.18288006,0.18219598,0.17836991,0.17836918,0.1755313,0.17321457,0.17437468,0.17391749,0.16985159,0.16697747,0.166565,0.16507082,0.16608208,0.16483484,0.1622325,0.1613147,0.15812519,0.15893915,0.15833804,0.1575067,0.15427285,0.15226987,0.15268199,0.15183567,0.15052828,0.14556612,0.14898278,0.14606537,0.14516224,0.14273179,0.14148381,0.14291771,0.14186703,0.1397264,0.13830055,0.13770072,0.13605314,0.13646457,0.1348035,0.13388617,0.13253814,0.1326116,0.13237353,0.1293607,0.13053441,0.12822446,0.12681407,0.12767816,0.12503032,0.123115025,0.12554269,0.12272479,0.121569835,0.12120878,0.12078409,0.118880786,0.11792499,0.117985,0.1170492,0.11443258,0.11556203,0.113864794,0.11496906,0.11168025,0.111741535,0.11200333,0.11104949,0.11068261,0.11034243,0.1050036,0.10736713,0.10588771,0.107637435,0.10540322,0.10578275,0.10414871,0.10370069,0.103058286,0.099209175,0.1021194,0.10071908,0.10075547,0.09995184,0.09697544,0.09873391,0.097496,0.09724975,0.09638715,0.095146365,0.09455121,0.09432264,0.09349079,0.09144832,0.0925954,0.09066214,0.09167418,0.09057659,0.089516476,0.08972585,0.08832203,0.087266095,0.08814852,0.08525371,0.08712497,0.08517562,0.08463941,0.08481031,0.08505206,0.08314076
accuracies_train,0.113498196,0.1540428,0.5687691,0.5406224,0.7625174,0.6411725,0.7758211,0.6435232,0.74007225,0.6877855,0.7959878,0.75239235,0.8250014,0.7788052,0.82464015,0.78253406,0.81804943,0.79982775,0.8446568,0.8367991,0.873726,0.8571214,0.8816282,0.86876357,0.8872798,0.8784051,0.8879355,0.880778,0.8909086,0.88746876,0.8942762,0.8964435,0.90231174,0.9024229,0.9110142,0.9140317,0.9143262,0.9190275,0.91934425,0.92368436,0.9243512,0.9276966,0.9280133,0.9276966,0.93035287,0.9300361,0.930025,0.93202555,0.93335927,0.934354,0.934015,0.9366713,0.93699914,0.93800503,0.938344,0.93966657,0.9400167,0.9410225,0.94104475,0.94404,0.9437121,0.944379,0.9460294,0.94637954,0.94702417,0.94834673,0.94836897,0.95003057,0.9493637,0.95003057,0.95035845,0.9513643,0.95169216,0.9513643,0.9523701,0.9527091,0.95303696,0.9537149,0.9537149,0.95470965,0.95470965,0.9550486,0.9560322,0.9560322,0.9563712,0.9563712,0.95638233,0.9567102,0.9580328,0.9573771,0.95871073,0.95871073,0.95971656,0.9603834,0.96072245,0.9617171,0.9617171,0.962045,0.96303976,0.96403444,0.96402335,0.9640456,0.9647013,0.96471244,0.96504027,0.96504027,0.9650292,0.9660239,0.9660239,0.96635175,0.9666907,0.9666907,0.96768546,0.96702975,0.96768546,0.9686802,0.9683523,0.9686802,0.9690192,0.96935815,0.970025,0.96935815,0.9703529,0.97069186,0.97069186,0.9713476,0.97167546,0.9720144,0.9720144,0.9720144,0.97333705,0.97334814,0.9740039,0.9736871,0.974015,0.9743429,0.97468185,0.9750208,0.9756766,0.9760044,0.9763323,0.9760044,0.97634345,0.9763323,0.97634345,0.97634345,0.9766713,0.9770103,0.97798276,0.97832173,0.9786496,0.97832173,0.9786496,0.97899973,0.97866076,0.9793054,0.97965544,0.9803112,0.9799833,0.9803223,0.98098916,0.98098916,0.9819839,0.981656,0.9823117,0.9826396,0.9826396,0.9823117,0.9829675,0.9829675,0.9826396,0.9836232,0.9832954,0.9836232,0.9836232,0.9832954,0.984279,0.984279,0.9839511,0.984279,0.984279,0.9849347,0.9852626,0.98559046,0.98560154,0.98559046,0.98560154,0.9865963,0.98658514,0.9865963,0.9869242,0.9869242,0.9869242,0.98726314,0.98726314,0.98793,0.98793,0.988269,0.9889469,0.9886191
accuracies_test,0.1386,0.5636,0.528,0.7619,0.6274,0.7695,0.6255,0.7446,0.6764,0.7957,0.7303,0.819,0.765,0.8125,0.7679,0.8017,0.7856,0.8254,0.8213,0.8533,0.8444,0.862,0.8529,0.8679,0.8589,0.8678,0.8622,0.8674,0.8679,0.8711,0.8731,0.878,0.8792,0.8845,0.888,0.889,0.8933,0.8928,0.8963,0.8947,0.8986,0.8965,0.8998,0.8986,0.9005,0.8999,0.9004,0.9007,0.9014,0.9017,0.9033,0.9029,0.903,0.904,0.9046,0.9053,0.9051,0.9056,0.9058,0.9061,0.9062,0.9068,0.9072,0.9073,0.9076,0.9076,0.9079,0.9079,0.9082,0.9078,0.9082,0.9087,0.9082,0.9089,0.9092,0.9091,0.9094,0.9097,0.9101,0.9097,0.9096,0.9096,0.9099,0.9097,0.9101,0.9097,0.9102,0.9096,0.9103,0.9102,0.9103,0.9105,0.9105,0.9106,0.9105,0.9107,0.9109,0.9108,0.9108,0.9106,0.9111,0.9109,0.9112,0.9112,0.9115,0.9111,0.9114,0.9114,0.9114,0.9113,0.9113,0.9117,0.9118,0.9117,0.9117,0.9122,0.9116,0.9117,0.912,0.9122,0.912,0.9119,0.9118,0.9123,0.9126,0.9125,0.9121,0.9126,0.9123,0.9129,0.9126,0.9127,0.913,0.9128,0.9132,0.9132,0.9131,0.9132,0.9134,0.9131,0.9135,0.9132,0.9133,0.9134,0.9132,0.9135,0.9135,0.9135,0.9128,0.9131,0.9129,0.9132,0.9134,0.9136,0.9131,0.9137,0.9136,0.9135,0.9137,0.9137,0.9136,0.9136,0.9139,0.914,0.9143,0.9142,0.9141,0.9141,0.9148,0.9145,0.9146,0.9146,0.9147,0.9144,0.9148,0.9148,0.9146,0.9147,0.9146,0.9148,0.9145,0.9151,0.9147,0.9144,0.9145,0.9149,0.9149,0.915,0.9149,0.9151,0.915,0.9146,0.9151,0.9152,0.915,0.9152,0.9147,0.915,0.9152,0.9149
