,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
losses_train,2.330333,2.0955796,1.907746,1.7755107,1.5397463,1.4717244,1.2613477,1.1990443,1.0513815,0.9999197,0.89955026,0.8537803,0.77449876,0.74598616,0.710168,0.7396292,0.7438189,0.7310287,0.70101815,0.67668813,0.6443189,0.6386293,0.59911954,0.6079538,0.57503796,0.5885397,0.5661147,0.5761509,0.5335931,0.54502183,0.50874996,0.5249798,0.48157907,0.4989348,0.4664785,0.4935381,0.44865066,0.47239047,0.43368405,0.45844507,0.42102253,0.44073546,0.4022555,0.4278827,0.42754254,0.4508435,0.4314844,0.43985173,0.43093795,0.4239204,0.40760687,0.41185516,0.39494383,0.39666876,0.38819295,0.38734776,0.3829997,0.38177493,0.37191617,0.37025246,0.36056855,0.3573009,0.35333833,0.34133634,0.342254,0.3437593,0.33943328,0.32300842,0.33071488,0.314581,0.3191991,0.31414506,0.31184328,0.3131265,0.30621934,0.31387043,0.2994008,0.31166762,0.29295266,0.30159435,0.28967607,0.29845098,0.28308323,0.2844004,0.27512002,0.2730856,0.26617017,0.26871356,0.26440057,0.26691636,0.25889158,0.2638076,0.2532596,0.25743958,0.25224853,0.25582257,0.2510193,0.25533745,0.2479719,0.2507873,0.24484359,0.24835148,0.24871576,0.24624737,0.24927005,0.24357547,0.243082,0.24134386,0.23696363,0.2319306,0.23013301,0.23104881,0.22327319,0.22298293,0.218052,0.22539225,0.21739465,0.22866711,0.20958413,0.22630765,0.20456016,0.22718066,0.20100924,0.21741934,0.19945769,0.21614507,0.20082471,0.21254213,0.2081677,0.21089903,0.1991797,0.20781125,0.1962448,0.21180773,0.19682857,0.20573305,0.19521348,0.20019118,0.19249482,0.19549802,0.18799688,0.1955171,0.18387808,0.1961056,0.17665876,0.18814732,0.1750951,0.18903604,0.17247967,0.18261296,0.16960247,0.18033001,0.17156625,0.17090717,0.16641207,0.1679708,0.16787106,0.16771702,0.17077467,0.16033849,0.18153825,0.16468418,0.18159181,0.1563644,0.17760411,0.15878797,0.1742406,0.15938121,0.1684347,0.15904593,0.16348064,0.15291072,0.16019455,0.15208778,0.16203937,0.15561245,0.15626016,0.16430981,0.16102143,0.1683785,0.1553011,0.16903025,0.15509689,0.16186997,0.14869201,0.16466172,0.14251992,0.16177294,0.14217225,0.15733296,0.13755319,0.15405788,0.13969488,0.15126354,0.13310441,0.15289146,0.13262337,0.1483977,0.13364442,0.14922051
accuracies_train,0.09759865,0.3075063,0.3398762,0.629883,0.58142924,0.68974453,0.6902601,0.7324555,0.7444789,0.7509573,0.77918017,0.78160036,0.80744296,0.7996533,0.80479825,0.78693867,0.7662455,0.8064873,0.78625643,0.815606,0.8009423,0.82784057,0.81852853,0.8311898,0.8245269,0.83276993,0.8290118,0.832101,0.8476581,0.8349924,0.8565434,0.84169084,0.8639064,0.84526896,0.8687869,0.84790033,0.87320065,0.8568257,0.8772766,0.86125726,0.87905014,0.86883134,0.8799569,0.87105376,0.8605661,0.85861695,0.8560945,0.8639464,0.85409653,0.8701648,0.86011267,0.87352294,0.8649754,0.87686324,0.8707493,0.8817615,0.87411183,0.886202,0.87880343,0.89130694,0.8867998,0.89753866,0.88900447,0.903986,0.88966453,0.89798313,0.8932293,0.9048883,0.8957118,0.90733075,0.8977142,0.9060106,0.9021813,0.90486157,0.90417933,0.9057417,0.9066351,0.9053105,0.90708405,0.90995324,0.907753,0.9083997,0.9144514,0.91174453,0.9186541,0.9150626,0.9231212,0.9144114,0.92447245,0.91729397,0.9264349,0.9184074,0.92687935,0.9213032,0.9266549,0.92353904,0.9280017,0.9246569,0.92375904,0.9260037,0.9246391,0.92554146,0.9230501,0.925537,0.92372346,0.92775947,0.9270327,0.9284062,0.92950183,0.93085754,0.93171984,0.9310864,0.93149537,0.93265325,0.9330533,0.93269324,0.9330533,0.93401784,0.9359269,0.9344579,0.93838274,0.93558466,0.93860275,0.93691367,0.94128746,0.93492013,0.9404029,0.9364959,0.9357158,0.935818,0.93727374,0.93870944,0.9412741,0.9365003,0.93928057,0.9380538,0.9424098,0.9391495,0.94262093,0.94160527,0.94394994,0.9435988,0.9459435,0.94447,0.94791925,0.94513005,0.95083284,0.9446767,0.9499439,0.9453545,0.95083284,0.94444335,0.95261526,0.94710135,0.95351315,0.94734365,0.9524264,0.9486593,0.9491216,0.95265085,0.94781476,0.94710135,0.94605017,0.95133066,0.9469302,0.9506573,0.94890153,0.9522419,0.9502395,0.95312196,0.9504506,0.9544421,0.9517663,0.9551111,0.95286196,0.9557889,0.9537465,0.95336866,0.9521841,0.95226413,0.9539932,0.9529286,0.95397097,0.95336866,0.9573024,0.9556089,0.9581958,0.95604,0.9597449,0.95692015,0.9599649,0.9575846,0.960176,0.9600138,0.9619629,0.9595871,0.9626363,0.9615717,0.96176064,0.9591293
accuracies_test,0.2728,0.2665,0.6087,0.5567,0.6787,0.6597,0.7254,0.7281,0.7451,0.767,0.7796,0.7928,0.7942,0.789,0.7803,0.7579,0.8072,0.7765,0.8146,0.7892,0.8261,0.8032,0.8271,0.8079,0.8216,0.8108,0.8231,0.8271,0.8277,0.8351,0.8348,0.8386,0.8399,0.8414,0.842,0.8464,0.846,0.8502,0.8483,0.8533,0.8558,0.8546,0.8577,0.8351,0.8394,0.8299,0.8455,0.8304,0.8525,0.8376,0.8604,0.8419,0.8628,0.8439,0.86,0.8461,0.8604,0.8493,0.8619,0.8538,0.8663,0.858,0.8696,0.8634,0.8684,0.8698,0.8743,0.8706,0.8767,0.8708,0.8767,0.8724,0.8786,0.8685,0.8815,0.8706,0.8842,0.8747,0.8873,0.8775,0.887,0.8804,0.8876,0.8827,0.8902,0.8883,0.8904,0.8877,0.8914,0.8853,0.8926,0.8839,0.8933,0.8809,0.894,0.8824,0.8931,0.8821,0.8926,0.8826,0.8936,0.8853,0.8938,0.8824,0.8916,0.8836,0.8905,0.8889,0.8911,0.891,0.8927,0.8916,0.8948,0.8926,0.8944,0.8907,0.8971,0.8921,0.8959,0.8941,0.8983,0.8908,0.8992,0.8909,0.9019,0.8919,0.9009,0.8921,0.8965,0.8963,0.8969,0.8991,0.8945,0.8976,0.8962,0.8987,0.8975,0.8974,0.9005,0.8968,0.9019,0.8962,0.9024,0.8972,0.9021,0.8987,0.903,0.8973,0.9019,0.9002,0.9022,0.8988,0.9032,0.9023,0.9018,0.9024,0.8995,0.9024,0.9014,0.901,0.8978,0.9025,0.8991,0.9035,0.899,0.9041,0.9006,0.9055,0.9005,0.9053,0.9002,0.9066,0.9002,0.9062,0.8991,0.9076,0.8994,0.9052,0.9006,0.9014,0.9018,0.9024,0.9015,0.903,0.9004,0.9047,0.9,0.904,0.902,0.9045,0.9018,0.9057,0.9024,0.9056,0.9006,0.9085,0.9019,0.9062,0.9045,0.9036
