,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
losses_train,2.3214474,2.1728632,2.0631685,1.8051541,1.6249503,1.534762,1.3454833,1.2728968,1.1225905,1.093403,0.9778697,1.0136163,0.9174019,0.97533995,0.9059511,0.88785195,0.84053123,0.7959245,0.7731073,0.73223513,0.7158342,0.67532134,0.6552055,0.6372104,0.63936335,0.6103135,0.6484103,0.60889363,0.67454267,0.566547,0.62346256,0.5516336,0.618192,0.5772929,0.5940164,0.531218,0.542361,0.5006644,0.50977445,0.4847395,0.48600942,0.45572847,0.46150663,0.4405336,0.47146586,0.48556376,0.5149564,0.49845436,0.48277876,0.487919,0.4529973,0.48096314,0.42693013,0.46336183,0.40303758,0.44663364,0.4020269,0.42660812,0.38642752,0.43931925,0.40299124,0.39581954,0.3807793,0.3689712,0.35354385,0.35781908,0.3439687,0.37454578,0.3409322,0.3562626,0.32788864,0.34643176,0.3425492,0.36376637,0.3256674,0.35709617,0.3223051,0.3475306,0.31186336,0.35230276,0.31097803,0.34426668,0.3084684,0.32994685,0.32136473,0.33049878,0.31879172,0.3291006,0.30976054,0.3188316,0.29963854,0.3137165,0.2820562,0.30686724,0.2768799,0.29937586,0.25946766,0.27720883,0.25928864,0.2763979,0.254336,0.27973348,0.26374587,0.27383015,0.27585316,0.28486928,0.2623216,0.2562942,0.24167447,0.25780055,0.24469607,0.2551282,0.2247811,0.2606608,0.23009911,0.24773246,0.22016512,0.22384143,0.22245836,0.23289971,0.2059643,0.21985053,0.21201125,0.21863557,0.21014957,0.23279595,0.21907884,0.24094819,0.24577452,0.25328583,0.21839204,0.24756677,0.1922792,0.22871706,0.18824574,0.22196986,0.18443327,0.22662641,0.19781564,0.23992646,0.22060283,0.2330663,0.21920246,0.23786056,0.20786385,0.2123984,0.20816378,0.19585253,0.21045025,0.18138173,0.20264946,0.19066082,0.1873885,0.1738854,0.1877947,0.17057578,0.17984279,0.15548904,0.18558428,0.15865889,0.19164212,0.17477739,0.20408702,0.17156783,0.2133534,0.18472256,0.20712383,0.1913733,0.20871095,0.18824811,0.19657321,0.16557473,0.18797795,0.1701902,0.18460535,0.16275024,0.18266317,0.15830414,0.17712288,0.15666068,0.1709083,0.17131953,0.17276745,0.16149577,0.18050313,0.15821415,0.17738125,0.15473995,0.17573436,0.16565573,0.15912412,0.15545355,0.17632231,0.15978502,0.17689824,0.14900045,0.1538963,0.15247813,0.1563942,0.15260535
accuracies_train,0.10835788,0.40305084,0.20107251,0.47846067,0.5181217,0.53801614,0.6678911,0.6238455,0.71622115,0.65714365,0.76298416,0.6671909,0.76495135,0.67714924,0.7576271,0.7259072,0.75807726,0.75087523,0.7860739,0.771242,0.8037399,0.7888969,0.8233398,0.7989108,0.8104751,0.78587943,0.77909976,0.7891914,0.7672631,0.81981105,0.7835399,0.8254515,0.78456795,0.8161045,0.7945596,0.8311364,0.81422615,0.83521533,0.82647955,0.84491247,0.83947766,0.8535927,0.8502251,0.85696024,0.8515254,0.84067243,0.8358044,0.8409336,0.8424396,0.8395665,0.8524423,0.8446513,0.85873854,0.85161436,0.86946374,0.8549486,0.86982495,0.85998887,0.8735093,0.85328704,0.86982495,0.8589386,0.87649345,0.8699472,0.8791831,0.8776216,0.88889134,0.87502086,0.88853014,0.88500136,0.8911531,0.8859961,0.8954932,0.88356763,0.8978772,0.88584054,0.9022062,0.89146984,0.90218395,0.8894693,0.9065574,0.8882467,0.90719086,0.89623785,0.9022062,0.89127535,0.8984996,0.89428174,0.9007947,0.89794385,0.9074854,0.9012559,0.9104029,0.90587944,0.91372603,0.9081856,0.9187441,0.91249233,0.9210836,0.9158044,0.92012227,0.9152042,0.9188219,0.9174215,0.9144818,0.9161878,0.91849405,0.9227897,0.92585164,0.9211281,0.92686856,0.91944426,0.93056405,0.92045015,0.92951375,0.92741317,0.9328591,0.9330536,0.9331981,0.93242013,0.93687135,0.93274796,0.9345652,0.93179774,0.932509,0.9301473,0.93253124,0.9214782,0.9205057,0.9251514,0.9317755,0.9265185,0.9421395,0.9341039,0.9454849,0.9330981,0.9435176,0.929786,0.9388608,0.9298305,0.9301806,0.9311976,0.9305085,0.93153656,0.9405557,0.93621564,0.94184494,0.9415282,0.9395054,0.9454849,0.9374493,0.94447905,0.93749374,0.9478022,0.94150597,0.95176995,0.94449013,0.9541428,0.9438122,0.95380384,0.9457794,0.95046955,0.9438122,0.9478355,0.93981105,0.94385666,0.9421506,0.9452237,0.94248956,0.9478022,0.94549596,0.9494749,0.94911367,0.94814116,0.94911367,0.9538149,0.94814116,0.9560989,0.95275354,0.9551598,0.95640457,0.9508419,0.9524034,0.9501306,0.9510697,0.9511031,0.95311475,0.95575994,0.9511253,0.95180327,0.9564268,0.9544818,0.9500861,0.95245904,0.95176995,0.95613223,0.95977217,0.95477635,0.9587552,0.9598055
accuracies_test,0.3982,0.2007,0.4733,0.5224,0.536,0.664,0.6257,0.7202,0.6513,0.755,0.6523,0.7639,0.6553,0.7542,0.7158,0.7575,0.7477,0.7814,0.755,0.7909,0.7804,0.8087,0.791,0.7993,0.7777,0.7697,0.7841,0.7629,0.812,0.7809,0.8152,0.7781,0.8049,0.7889,0.8224,0.8101,0.8342,0.8217,0.8391,0.8302,0.8456,0.835,0.849,0.8281,0.827,0.8117,0.8184,0.8188,0.8164,0.8241,0.8203,0.8346,0.8245,0.8447,0.8287,0.8465,0.8321,0.8501,0.8255,0.8494,0.8362,0.8546,0.8421,0.8576,0.8461,0.8598,0.841,0.8609,0.8447,0.865,0.8475,0.8601,0.8481,0.8663,0.8531,0.8706,0.8592,0.8701,0.8549,0.8683,0.8572,0.866,0.8567,0.8635,0.8562,0.8674,0.8587,0.8678,0.8593,0.8688,0.8609,0.8732,0.8626,0.8733,0.8619,0.8762,0.8648,0.8776,0.8675,0.8772,0.8631,0.8759,0.8694,0.8774,0.8707,0.8806,0.8778,0.882,0.8746,0.8831,0.8743,0.884,0.8719,0.8812,0.8734,0.884,0.878,0.884,0.8763,0.8865,0.8753,0.8859,0.8754,0.8871,0.875,0.8806,0.8769,0.8741,0.8785,0.8805,0.8805,0.8892,0.8854,0.8898,0.8836,0.8871,0.8829,0.8851,0.8781,0.8784,0.8814,0.8796,0.8834,0.8801,0.8811,0.8808,0.8824,0.8817,0.8863,0.8827,0.8841,0.8824,0.8868,0.8821,0.8886,0.8837,0.8908,0.8868,0.8903,0.8856,0.8878,0.8815,0.8848,0.8798,0.8825,0.88,0.8815,0.8776,0.8826,0.8791,0.8867,0.8804,0.885,0.8798,0.8849,0.8793,0.8862,0.8818,0.8832,0.8842,0.8837,0.883,0.8853,0.8842,0.8843,0.8868,0.8862,0.8866,0.8876,0.891,0.8851,0.8857,0.8837,0.8847,0.8866,0.8915,0.8837,0.8887,0.882,0.8903
