,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
losses_train,2.3494203,2.24567,1.8884764,1.8011161,1.4959881,1.4367782,1.2156019,1.1693869,1.024542,0.9890783,0.9484638,0.9845016,0.92948234,0.922427,0.8671269,0.8168457,0.786842,0.7540293,0.73724693,0.7021203,0.6778761,0.6712869,0.64339346,0.6404128,0.6236971,0.6435882,0.6222497,0.6072674,0.59038407,0.5592734,0.5752892,0.5388533,0.5495049,0.50506,0.5174138,0.48221725,0.4919938,0.48024505,0.4871781,0.492775,0.46466964,0.47872078,0.44693315,0.468891,0.42668292,0.43869337,0.40861467,0.4280267,0.385544,0.40204433,0.35737693,0.39058954,0.3442821,0.3773276,0.3354538,0.3772292,0.33163625,0.37630624,0.34479523,0.3811492,0.34116766,0.36452702,0.32605648,0.35495868,0.33128816,0.36050403,0.33389604,0.35702845,0.32402053,0.33964238,0.32034382,0.322305,0.2899794,0.30862847,0.29268834,0.30516204,0.2847498,0.30414578,0.2714119,0.29590306,0.2591801,0.2994296,0.27328768,0.31468475,0.26352754,0.28851956,0.26068,0.26556382,0.24360088,0.27784616,0.24787778,0.26167604,0.24687523,0.25627902,0.23941502,0.24817152,0.24923934,0.2433128,0.26500937,0.22860584,0.24770713,0.22791748,0.23920585,0.22460903,0.22897631,0.21930991,0.22353625,0.2209886,0.2232958,0.20436166,0.20734242,0.20167772,0.21256079,0.20119771,0.2048242,0.19454391,0.2001278,0.18546307,0.19665842,0.19064163,0.19304062,0.18700615,0.19573914,0.18039289,0.19811955,0.18191923,0.19627233,0.1799396,0.22028753,0.18170893,0.19978416,0.1755488,0.19922262,0.17433557,0.19684555,0.18039939,0.18498173,0.18932267,0.18718152,0.18992564,0.18173796,0.1879993,0.16839328,0.18728007,0.16420521,0.17531504,0.16610943,0.17061362,0.16924559,0.17968771,0.15783177,0.19749531,0.1607079,0.17288199,0.14286907,0.18121675,0.148512,0.15642115,0.15238956,0.1607443,0.15079767,0.1607479,0.1579847,0.14702833,0.1682612,0.15385495,0.17310828,0.1587116,0.1575178,0.13628952,0.16740485,0.14958821,0.18299726,0.15506567,0.16482896,0.14211799,0.16997676,0.14089552,0.15995951,0.13642687,0.15475863,0.1206841,0.15935732,0.12912908,0.15637115,0.12540723,0.13865209,0.12775959,0.14537962,0.1327467,0.13210571,0.13644874,0.13243565,0.1441877,0.14023294,0.13863191,0.14086525,0.1339767,0.1382594,0.1297362
accuracies_train,0.12165046,0.23637122,0.37477076,0.51520425,0.5631064,0.615132,0.7004501,0.66924703,0.7290414,0.69023615,0.77131426,0.64699084,0.73898304,0.69651014,0.75087523,0.74115586,0.78620726,0.7738872,0.7902862,0.7797555,0.8165546,0.8004279,0.82922477,0.81182,0.8326813,0.8017838,0.81232566,0.8072187,0.8246346,0.83079743,0.8236621,0.8384496,0.8323201,0.842823,0.84298974,0.8492192,0.84335095,0.8429675,0.84070575,0.83429843,0.8452626,0.8472187,0.85246456,0.8542484,0.86619616,0.86491805,0.87486523,0.8689969,0.88421226,0.875621,0.892598,0.87963325,0.90085024,0.88532925,0.905835,0.88303417,0.90057796,0.88042235,0.8962156,0.87666017,0.89489305,0.88368994,0.8975604,0.8883023,0.8951431,0.88667405,0.8928258,0.89000833,0.8925313,0.8972659,0.8984774,0.90023893,0.908808,0.9035732,0.90682966,0.90494025,0.90656847,0.90627396,0.9121756,0.9046013,0.9175326,0.905257,0.911531,0.9029286,0.9192053,0.9108975,0.91754377,0.9185718,0.92455125,0.9152153,0.9268575,0.92285633,0.9265629,0.9194887,0.92516255,0.92214507,0.9225063,0.9254793,0.917227,0.9294915,0.9175771,0.9314921,0.9245179,0.9328036,0.9241345,0.932509,0.92614615,0.93818283,0.9310975,0.9362045,0.9347597,0.9352542,0.9351431,0.93849957,0.93680465,0.9398555,0.93918866,0.94715756,0.94050014,0.94451237,0.9404668,0.94618505,0.93974435,0.9451681,0.94043344,0.94449013,0.9395054,0.9448958,0.9338983,0.94421786,0.93890524,0.9441845,0.93853295,0.94784665,0.9378772,0.9457683,0.9415393,0.9395054,0.94513476,0.94285077,0.946524,0.94585717,0.9498361,0.9468297,0.9494415,0.9468297,0.9494082,0.951531,0.95276463,0.94589055,0.95347595,0.9409058,0.9504807,0.946863,0.9544707,0.94619614,0.95585996,0.9534871,0.95480967,0.95282024,0.95513755,0.9541095,0.9504473,0.95710474,0.9491359,0.9528091,0.9517922,0.95176995,0.9521534,0.95978326,0.9541428,0.9558155,0.94618505,0.95318145,0.9524701,0.959172,0.9511142,0.9597944,0.9547652,0.9631398,0.9574326,0.96580714,0.9544818,0.96277857,0.95746595,0.96282303,0.9604279,0.96311754,0.95851624,0.962484,0.96482354,0.96014446,0.96346766,0.95952207,0.9617838,0.96456236,0.9617616,0.96551263,0.96144485,0.9635232
accuracies_test,0.2494,0.3139,0.5236,0.531,0.6227,0.6782,0.6636,0.713,0.6843,0.7658,0.6363,0.698,0.6572,0.6964,0.7111,0.73,0.7408,0.7306,0.7683,0.767,0.7781,0.7885,0.7848,0.7811,0.7681,0.761,0.7783,0.7638,0.7981,0.7617,0.808,0.7754,0.8164,0.7913,0.8167,0.8025,0.8014,0.8113,0.7886,0.8212,0.796,0.8263,0.805,0.8391,0.8121,0.8451,0.8166,0.8494,0.8197,0.8549,0.8222,0.8609,0.8238,0.8672,0.8225,0.8691,0.8164,0.8652,0.8145,0.8616,0.8208,0.8632,0.8314,0.8548,0.8294,0.8534,0.8289,0.8536,0.8353,0.8525,0.8441,0.857,0.8492,0.8564,0.8503,0.8616,0.8503,0.8639,0.8492,0.8661,0.846,0.8725,0.8396,0.8771,0.8528,0.8775,0.8592,0.8842,0.8519,0.8823,0.8568,0.8812,0.8627,0.8788,0.8719,0.8728,0.8829,0.8531,0.8882,0.8559,0.8843,0.8584,0.8856,0.8637,0.8804,0.8676,0.8766,0.8729,0.8785,0.8751,0.8764,0.8752,0.878,0.8786,0.8778,0.8807,0.8851,0.8777,0.8825,0.8781,0.8842,0.8759,0.8832,0.8724,0.8862,0.8703,0.8894,0.8651,0.8907,0.872,0.8901,0.87,0.8896,0.8705,0.8874,0.8712,0.8797,0.8742,0.8804,0.8755,0.8829,0.8798,0.8823,0.8806,0.8811,0.8832,0.8828,0.8798,0.878,0.889,0.8662,0.89,0.8767,0.8945,0.8718,0.8933,0.8782,0.8894,0.8756,0.889,0.879,0.8824,0.8817,0.8802,0.8798,0.8811,0.878,0.8846,0.8805,0.8803,0.8828,0.8694,0.8867,0.8749,0.8909,0.8706,0.8892,0.8725,0.8884,0.877,0.8918,0.8751,0.8913,0.8741,0.8904,0.8769,0.8904,0.878,0.8879,0.8819,0.8869,0.8783,0.8847,0.8784,0.8858,0.8768,0.8862,0.8755,0.8881,0.8756
