,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
losses_train,2.3567753,2.147289,1.9665358,1.8203381,1.6788399,1.5497311,1.4332737,1.3294439,1.2359437,1.1530414,1.0820714,1.0166996,0.9626775,0.911004,0.86845505,0.82435215,0.7932551,0.75571823,0.72727966,0.69952464,0.6790797,0.6537388,0.6356599,0.6146359,0.5961975,0.57971483,0.5643495,0.5493535,0.53279513,0.52173895,0.5131474,0.49967742,0.49073476,0.4787831,0.4707134,0.46248475,0.4537307,0.4457572,0.4373668,0.431208,0.42703846,0.41748628,0.41313934,0.40825585,0.401898,0.3959905,0.39110875,0.38787732,0.3829288,0.37657353,0.37505096,0.36860093,0.3647078,0.3609489,0.35710943,0.3518114,0.35123274,0.3457642,0.34404126,0.33855066,0.33594453,0.33345065,0.33136335,0.32541797,0.32417673,0.3214574,0.31923616,0.31491393,0.31190807,0.3094356,0.30921972,0.30675024,0.30073264,0.3033129,0.30009767,0.29581445,0.29281312,0.29260617,0.2898481,0.28874654,0.2859412,0.28504473,0.28179443,0.28099123,0.27915707,0.27640128,0.27484787,0.27063048,0.2727897,0.27022895,0.26914978,0.26652494,0.26586545,0.26449692,0.26262847,0.26050955,0.25826004,0.25853354,0.25588578,0.2523827,0.25350714,0.24883215,0.25062603,0.24635021,0.24814881,0.24528866,0.24651891,0.24348089,0.23905244,0.24126633,0.2400989,0.24005812,0.23758465,0.23503543,0.232939,0.23298602,0.2321963,0.22977328,0.23235366,0.22955042,0.22854102,0.22699834,0.22477777,0.22464468,0.22377709,0.22154503,0.2225886,0.22104295,0.2185231,0.21866412,0.21801063,0.21776268,0.21713,0.21652244,0.21469915,0.21176288,0.21144314,0.20987155,0.20981018,0.2098932,0.20777947,0.20729901,0.20638308,0.20440851,0.20384851,0.20371395,0.20313984,0.20244426,0.20055209,0.20140088,0.19966547,0.19832245,0.199071,0.19648862,0.19594708,0.19428413,0.19602636,0.19404228,0.19438654,0.1928261,0.19137175,0.19078292,0.1908628,0.18950313,0.18938737,0.1888178,0.1883936,0.1870164,0.18647756,0.18434316,0.18428239,0.18238413,0.18306495,0.18214326,0.18051615,0.1808835,0.1789179,0.17896001,0.1776858,0.17748165,0.17746069,0.1753838,0.17430429,0.17470838,0.1750069,0.17367926,0.17388149,0.17199449,0.17245618,0.1715512,0.16919148,0.16926965,0.16988082,0.169462,0.16862386,0.16551086,0.16636784,0.16685109,0.16650255,0.16414338
accuracies_train,0.11144892,0.35325754,0.5980776,0.60516274,0.7056661,0.69074684,0.7532442,0.7372293,0.78995234,0.7668078,0.8124057,0.7933282,0.8255692,0.8128902,0.8351146,0.8209043,0.84311986,0.83359224,0.85269636,0.843151,0.86090386,0.8549277,0.8673779,0.8622462,0.8731562,0.8713649,0.87916344,0.87493414,0.8836172,0.8824816,0.88805324,0.886702,0.89116466,0.8918203,0.8944828,0.8946984,0.8971675,0.89869434,0.90027004,0.90159905,0.9004945,0.9029459,0.90228575,0.90295476,0.9042749,0.9049527,0.90694624,0.90716183,0.90782636,0.9091687,0.9080508,0.90894425,0.9098332,0.91006213,0.9107222,0.9125224,0.9122757,0.9145203,0.914287,0.91472703,0.91584045,0.916285,0.91762286,0.91917634,0.9191719,0.9209454,0.92138547,0.9220455,0.9231723,0.9229434,0.9238502,0.92339236,0.9249547,0.9260682,0.92583483,0.92673266,0.9271816,0.92805725,0.9285106,0.92873067,0.9296196,0.9296152,0.9296196,0.9318421,0.9298441,0.9322999,0.93117756,0.93318,0.9329644,0.93429786,0.93407786,0.93518686,0.9340734,0.9358558,0.93518686,0.93541133,0.9360714,0.93652034,0.9369693,0.93764263,0.9371937,0.9378538,0.9378538,0.9378582,0.93763375,0.9380782,0.93853605,0.9389672,0.9389806,0.93896276,0.9396362,0.9403007,0.9398651,0.94096524,0.9405252,0.94207865,0.94164747,0.94206977,0.94275206,0.94296765,0.9436366,0.9425187,0.94408107,0.94452554,0.9449656,0.94541454,0.94563454,0.94652796,0.9458546,0.9460835,0.94630355,0.9458457,0.9469725,0.9460746,0.946968,0.9474081,0.947857,0.94874597,0.94874156,0.9492038,0.94874597,0.9498683,0.94963497,0.9503128,0.9496394,0.95075285,0.950744,0.95186627,0.9514129,0.9511929,0.95096844,0.9523108,0.9523152,0.9525397,0.9534287,0.95297974,0.95386875,0.9525308,0.9536443,0.9536487,0.9534198,0.9545377,0.9552155,0.9545377,0.95498663,0.9549777,0.9561045,0.9554311,0.956329,0.95610005,0.9570068,0.9572135,0.95767134,0.957438,0.9581158,0.9567779,0.9581158,0.956329,0.9574469,0.95878035,0.9585559,0.95810694,0.9594448,0.9594404,0.9592248,0.9592026,0.9589959,0.9596604,0.95922035,0.9601049,0.9596649,0.96232736,0.9605583,0.9618873,0.9607783,0.9621162,0.96032935,0.96255624,0.96121836,0.9623318
accuracies_test,0.3877,0.5044,0.5959,0.6864,0.6915,0.7496,0.7391,0.7878,0.7706,0.8103,0.7916,0.826,0.8086,0.8388,0.8192,0.8486,0.8322,0.8581,0.8427,0.8636,0.8509,0.8701,0.8612,0.8735,0.8689,0.878,0.8733,0.8816,0.8791,0.8833,0.8826,0.8853,0.8849,0.8882,0.8877,0.8895,0.8906,0.8915,0.8932,0.8934,0.8948,0.8951,0.896,0.8971,0.8966,0.898,0.8973,0.8985,0.8988,0.8989,0.8993,0.8996,0.9008,0.8999,0.9011,0.9004,0.9022,0.9007,0.9022,0.9011,0.9028,0.9017,0.9033,0.9023,0.904,0.9033,0.9043,0.9036,0.9045,0.9043,0.9047,0.9045,0.9058,0.9046,0.9058,0.9046,0.9066,0.9055,0.9069,0.9053,0.9078,0.9055,0.9078,0.9061,0.9089,0.9065,0.9085,0.9068,0.9084,0.9068,0.9088,0.9066,0.9092,0.9076,0.9091,0.9082,0.9095,0.9087,0.9099,0.9086,0.9099,0.9095,0.9102,0.9096,0.9103,0.9098,0.9105,0.9104,0.9112,0.9102,0.9112,0.9106,0.9113,0.9102,0.9113,0.9114,0.9119,0.9117,0.9117,0.9119,0.9118,0.912,0.9123,0.9126,0.9126,0.9132,0.9125,0.9131,0.9127,0.9127,0.9131,0.9129,0.9135,0.913,0.9136,0.9136,0.9137,0.9138,0.914,0.9141,0.9141,0.9141,0.9144,0.914,0.9141,0.9141,0.9145,0.914,0.9142,0.9141,0.9145,0.9141,0.9152,0.9141,0.915,0.9145,0.9153,0.914,0.9156,0.9144,0.9153,0.9141,0.9154,0.9144,0.916,0.9144,0.9158,0.9145,0.9157,0.9144,0.9161,0.9147,0.9161,0.9152,0.9158,0.9149,0.9165,0.9148,0.9166,0.9152,0.9166,0.9153,0.9168,0.9151,0.9175,0.9149,0.9177,0.9154,0.9178,0.9161,0.9172,0.9169,0.9174,0.9163,0.9177,0.9166,0.9174,0.9166,0.9176,0.9166
