,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
losses_train,2.3413293,2.1555514,1.9921455,1.8397723,1.6943598,1.5592264,1.4357826,1.3267815,1.2291845,1.1474831,1.0697433,1.0065235,0.94443387,0.89578044,0.8461289,0.8077215,0.7710992,0.74057776,0.71133834,0.6847377,0.6637818,0.64363915,0.6222728,0.60622084,0.594894,0.5802067,0.5672728,0.5482064,0.533304,0.519858,0.508372,0.4961009,0.4826142,0.4694674,0.461868,0.44842264,0.4427768,0.43219385,0.42266595,0.42016327,0.4065134,0.40518358,0.3925036,0.39148188,0.3883806,0.38209692,0.3746309,0.37356025,0.36423048,0.36253977,0.3574263,0.3519263,0.34754324,0.3444938,0.34164867,0.3346391,0.33410272,0.32753333,0.32711387,0.32347643,0.32012072,0.31774834,0.3118483,0.30812836,0.30776435,0.30624682,0.3033884,0.29938304,0.29654315,0.29533267,0.28959623,0.28762224,0.28396487,0.28393096,0.28198993,0.2741783,0.274021,0.2741064,0.27267015,0.27096778,0.26522443,0.26778078,0.26166213,0.2597503,0.2578807,0.2571169,0.24970813,0.2510546,0.25037187,0.24781777,0.24885553,0.24343704,0.24334143,0.24046497,0.24066958,0.24022844,0.23669684,0.23439443,0.23502159,0.23152937,0.2294718,0.23144844,0.22992684,0.22392298,0.22281805,0.2189575,0.22061256,0.22105034,0.21931809,0.21950218,0.21523494,0.21352856,0.21253864,0.21125327,0.20962001,0.20865783,0.20616435,0.20741268,0.20573673,0.202568,0.20178202,0.20262472,0.20118053,0.19985396,0.19410975,0.19774897,0.19416265,0.19325599,0.19306344,0.19253638,0.19040641,0.18720275,0.18703791,0.18431842,0.18575847,0.18182865,0.17970231,0.18253693,0.18266132,0.18088487,0.17783092,0.17733362,0.17329197,0.17113572,0.1740257,0.17325869,0.17161088,0.17245428,0.16924891,0.1699264,0.16839412,0.16623242,0.1671421,0.1653465,0.16199796,0.16255327,0.1621302,0.16269223,0.16085598,0.16027689,0.15909481,0.15598863,0.15894344,0.15487039,0.15166901,0.15254772,0.15527529,0.15428008,0.15097675,0.15139121,0.15046969,0.14669062,0.14811203,0.14869475,0.14887843,0.14714432,0.14689872,0.14583111,0.1457029,0.1429339,0.13928364,0.14094633,0.13839388,0.14155342,0.14020444,0.13753308,0.13844709,0.13794324,0.13668166,0.13715184,0.13507879,0.13137573,0.133923,0.13297759,0.13323678,0.13124068,0.13101666,0.1311262,0.12704155,0.12959513
accuracies_train,0.091136426,0.40296194,0.52330095,0.62544596,0.66690195,0.70221174,0.71587664,0.74348986,0.75953877,0.7694971,0.7970881,0.7982051,0.8170936,0.81753266,0.8374493,0.8339094,0.84911364,0.849925,0.85141987,0.85530424,0.8514087,0.8569547,0.8458016,0.8573048,0.8448069,0.8620172,0.8551375,0.869297,0.8641345,0.87330925,0.87552655,0.8792442,0.88317865,0.8855516,0.891192,0.89052516,0.8948652,0.8948541,0.89622116,0.8971937,0.90154487,0.90021116,0.9038844,0.9055571,0.90556824,0.90886915,0.9085746,0.9118978,0.9102362,0.9108919,0.9125535,0.9128814,0.91354823,0.9145429,0.91455406,0.9165657,0.91926646,0.9179105,0.9189275,0.9192554,0.91926646,0.9206002,0.9209169,0.9222617,0.92126703,0.9236066,0.9229286,0.9246124,0.92491806,0.925257,0.92695194,0.92591274,0.9296082,0.92760766,0.9296082,0.9292581,0.9309197,0.9319033,0.93293136,0.93290913,0.93459296,0.93327034,0.9352598,0.9359155,0.9352487,0.93626565,0.9356099,0.93724924,0.93692136,0.9379161,0.93789387,0.9388997,0.9379272,0.9419061,0.9402445,0.9418727,0.94091135,0.94188386,0.94091135,0.94322866,0.94222283,0.9428897,0.9432398,0.9435454,0.9428897,0.9458961,0.9448791,0.94588494,0.94521815,0.9468797,0.9465518,0.94889134,0.94720757,0.9495582,0.94720757,0.94989717,0.9478855,0.95055294,0.949197,0.94953597,0.95019174,0.95120865,0.9505418,0.9515476,0.95153654,0.95153654,0.9522034,0.9522034,0.9542262,0.95421505,0.9548819,0.9548708,0.95687133,0.95588773,0.9582162,0.9568825,0.95888305,0.9585329,0.9592109,0.958544,0.96055573,0.95953876,0.96023893,0.959222,0.9609058,0.96055573,0.9619116,0.9622284,0.96287304,0.9628953,0.9632231,0.9635621,0.96456796,0.96324533,0.9655738,0.96456796,0.9642289,0.9645568,0.96456796,0.9642289,0.96624064,0.9648958,0.9659016,0.96555156,0.96656847,0.9665574,0.9669075,0.9665574,0.96656847,0.96689636,0.9679022,0.9675743,0.96856904,0.96824116,0.9685802,0.96824116,0.9692359,0.96856904,0.9702529,0.969247,0.97059184,0.969586,0.9712698,0.96891916,0.9729314,0.9705807,0.9732926,0.9715977,0.9742762,0.97026396,0.97428733,0.9719478,0.9742762,0.97262573,0.9749541,0.97359824,0.97529316,0.9736093,0.9749541,0.9742762
accuracies_test,0.4164,0.5133,0.6299,0.6704,0.7119,0.7249,0.7552,0.768,0.7819,0.7986,0.8054,0.8218,0.8234,0.8402,0.8354,0.8527,0.8483,0.8571,0.8545,0.8573,0.8516,0.8552,0.8507,0.8559,0.8536,0.8592,0.8595,0.8672,0.8613,0.8753,0.8743,0.8854,0.8815,0.8892,0.8862,0.8912,0.8888,0.8923,0.8907,0.8945,0.8923,0.8953,0.8936,0.8958,0.8949,0.8976,0.8957,0.8975,0.8967,0.8983,0.898,0.8991,0.8985,0.8993,0.8987,0.9003,0.8999,0.9013,0.9009,0.9022,0.9011,0.9024,0.9024,0.9022,0.9027,0.903,0.9033,0.9034,0.9045,0.9038,0.9053,0.9051,0.9058,0.9047,0.9056,0.9053,0.9062,0.9069,0.907,0.9068,0.9077,0.9077,0.9077,0.9083,0.9081,0.9087,0.9085,0.9093,0.9092,0.9092,0.9096,0.9098,0.9099,0.9103,0.9098,0.9112,0.9099,0.9108,0.9108,0.9108,0.9107,0.9106,0.9111,0.9113,0.911,0.911,0.9123,0.9108,0.9126,0.9114,0.9136,0.912,0.9141,0.9118,0.9142,0.9122,0.9142,0.9119,0.9153,0.9122,0.9152,0.9124,0.9152,0.9121,0.9144,0.9135,0.9147,0.9134,0.9151,0.9131,0.9146,0.9143,0.9147,0.9139,0.9153,0.9144,0.9151,0.915,0.9159,0.915,0.9157,0.9153,0.9156,0.9152,0.9155,0.9157,0.9163,0.9154,0.9165,0.9152,0.9163,0.9154,0.9165,0.9157,0.9162,0.9154,0.9167,0.9157,0.9171,0.9159,0.9172,0.9155,0.9172,0.9159,0.9163,0.9161,0.9173,0.9162,0.9169,0.9166,0.9175,0.9162,0.9175,0.9165,0.9178,0.9161,0.9175,0.9164,0.9177,0.9165,0.9177,0.9171,0.918,0.9172,0.9177,0.9173,0.9182,0.9178,0.9185,0.918,0.9176,0.918,0.9183,0.9179,0.9183,0.9179,0.919,0.9182,0.9187,0.9181
